date;rf
190603;0.0035295999
190604;0.0036472459
190605;0.0035590127
190606;0.0035075398
190607;0.0036619507
190608;0.0040294997
190609;0.0044703803
190610;0.0042793559
190611;0.0042426162
190612;0.0042426162
190701;0.0041691329
190702;0.0040148003
190703;0.0041911785
190704;0.0040148003
190705;0.0036693030
190706;0.0036472459
190707;0.0038751456
190708;0.0042426162
190709;0.0046540232
190710;0.0048670067
190711;0.0049771528
190712;0.0054029369
190801;0.0044042606
190802;0.0033678142
190803;0.0038236889
190804;0.0029264471
190805;0.0025437713
190806;0.0023229302
190807;0.0024039110
190808;0.0022934811
190809;0.0025364108
190810;0.0026320941
190811;0.0026100142
190812;0.0024775241
190901;0.0023818260
190902;0.0022419429
190903;0.0022198544
190904;0.0022198544
190905;0.0021756757
190906;0.0020357639
190907;0.0021314951
190908;0.0026173742
190909;0.0027204091
190910;0.0033457504
190911;0.0033604596
190912;0.0034045859
191001;0.0031397988
191002;0.0029117315
191003;0.0029558776
191004;0.0031397988
191005;0.0031397988
191006;0.0032648459
191007;0.0036031303
191008;0.0036398934
191009;0.0037134157
191010;0.0037354713
191011;0.0036913596
191012;0.0030735911
191101;0.0025805734
191102;0.0026320941
191103;0.0025143287
191104;0.0023302924
191105;0.0023082058
191106;0.0023523785
191107;0.0024259955
191108;0.0027277683
191109;0.0029779500
191110;0.0028528670
191111;0.0025437713
191112;0.0030441640
191201;0.0025143287
191202;0.0024039110
191203;0.0027277683
191204;0.0026909716
191205;0.0027277683
191206;0.0025879337
191207;0.0029705926
191208;0.0033236862
191209;0.0037354713
191210;0.0040074506
191211;0.0038530930
191212;0.0040588978
191301;0.0031839349
191302;0.0032501353
191303;0.0038824963
191304;0.0037060637
191305;0.0035810718
191306;0.0039707009
191307;0.0040882950
191308;0.0040588978
191309;0.0039192492
191310;0.0038089865
191311;0.0037354713
191312;0.0038310400
191401;0.0029779500
191402;0.0024775241
191403;0.0024701631
191404;0.0023965494
191405;0.0024996070
191406;0.0024848851
191407;0.0029117315
191408;0.0043087466
191409;0.0045732245
191410;0.0043822197
191411;0.0036913596
191412;0.0028455087
191501;0.0024775241
191502;0.0024039110
191503;0.0021314951
191504;0.0023376545
191505;0.0023818260
191506;0.0023302924
191507;0.0020357639
191508;0.0022419429
191509;0.0020578565
191510;0.0020136707
191511;0.0018442738
191512;0.0019179282
191601;0.0019400234
191602;0.0019400234
191603;0.0019400234
191604;0.0019400234
191605;0.0019400234
191606;0.0023082058
191607;0.0025658528
191608;0.0023818260
191609;0.0021314951
191610;0.0021314951
191611;0.0022124914
191612;0.0025216894
191701;0.0022566684
191702;0.0026541736
191703;0.0026762526
191704;0.0027939990
191705;0.0031986465
191706;0.0033236862
191707;0.0030883043
191708;0.0031692231
191709;0.0034560642
191710;0.0036031303
191711;0.0036472459
191712;0.0036913596
191801;0.0037428230
191802;0.0038236889
191803;0.0039707009
191804;0.0039927509
191805;0.0039707009
191806;0.0039707009
191807;0.0039707009
191808;0.0040148003
191809;0.0040588978
191810;0.0040588978
191811;0.0040368493
191812;0.0039192492
191901;0.0035075398
191902;0.0034560642
191903;0.0036031303
191904;0.0036031303
191905;0.0036031303
191906;0.0037134157
191907;0.0036398934
191908;0.0036031303
191909;0.0036031303
191910;0.0036031303
191911;0.0036913596
191912;0.0039707009
192001;0.0037429863
192002;0.0037500000
192003;0.0039583333
192004;0.0043750000
192005;0.0045833333
192006;0.0047916667
192007;0.0048416667
192008;0.0048583333
192009;0.0048416667
192010;0.0047916667
192011;0.0047916667
192012;0.0049000000
192101;0.0047250000
192102;0.0044166667
192103;0.0044833333
192104;0.0043333333
192105;0.0043000000
192106;0.0041583333
192107;0.0038333333
192108;0.0039583333
192109;0.0039583333
192110;0.0035083333
192111;0.0033583333
192112;0.0032500000
192201;0.0032500000
192202;0.0031750000
192203;0.0029583333
192204;0.0026750000
192205;0.0027083333
192206;0.0027083333
192207;0.0026666667
192208;0.0026083333
192209;0.0027833333
192210;0.0030916667
192211;0.0030500000
192212;0.0030416667
192301;0.0030500000
192302;0.0030416667
192303;0.0034333333
192304;0.0034416667
192305;0.0032916667
192306;0.0032000000
192307;0.0032583333
192308;0.0032166667
192309;0.0033416667
192310;0.0035166667
192311;0.0032833333
192312;0.0032333333
192401;0.0031333333
192402;0.0029500000
192403;0.0029750000
192404;0.0028166667
192405;0.0019083333
192406;0.0020333333
192407;0.0016000000
192408;0.0015833333
192409;0.0017833333
192410;0.0020083333
192411;0.0021500000
192412;0.0021416667
192501;0.0021750000
192502;0.0021833333
192503;0.0023166667
192504;0.0023166667
192505;0.0022750000
192506;0.0023833333
192507;0.0025500000
192508;0.0025083333
192509;0.0026416667
192510;0.0029416667
192511;0.0030416667
192512;0.0029250000
192601;0.0029083333
192602;0.0026500000
192603;0.0026166667
192604;0.0025666667
192605;0.0026416667
192606;0.0024416667
192607;0.0025916667
192608;0.0027250000
192609;0.0028500000
192610;0.0029833333
192611;0.0027916667
192612;0.0025583333
192701;0.0026916667
192702;0.0027416667
192703;0.0026666667
192704;0.0028250000
192705;0.0027750000
192706;0.0025583333
192707;0.0024666667
192708;0.0022500000
192709;0.0022333333
192710;0.0025666667
192711;0.0025333333
192712;0.0026416667
192801;0.0027583333
192802;0.0027750000
192803;0.0027250000
192804;0.0030166667
192805;0.0032500000
192806;0.0032666667
192807;0.0034333333
192808;0.0036333333
192809;0.0038083333
192810;0.0039166667
192811;0.0035500000
192812;0.0035500000
192901;0.0038833333
192902;0.0036583333
192903;0.0038333333
192904;0.0040000000
192905;0.0042416667
192906;0.0040000000
192907;0.0037916667
192908;0.0039166667
192909;0.0038166667
192910;0.0036416667
192911;0.0028916667
192912;0.0025250000
193001;0.0028250000
193002;0.0028000000
193003;0.0024583333
193004;0.0025000000
193005;0.0020083333
193006;0.0015750000
193007;0.0015250000
193008;0.0012750000
193009;0.0014750000
193010;0.0014500000
193011;0.0011666667
193012;0.0012333333
193101;0.0010333333
193102;0.0008833333
193103;0.0011500000
193104;0.0012416667
193105;0.0007333333
193106;0.0004583333
193107;0.0003416667
193108;0.0003500000
193109;0.0003750000
193110;0.0014166667
193111;0.0014750000
193112;0.0020083333
193201;0.0020666667
193202;0.0020166667
193203;0.0018750000
193204;0.0009250000
193205;0.0002583333
193206;0.0002833333
193207;0.0001833333
193208;0.0001166667
193209;0.0000250000
193210;0.0000083333
193211;0.0000083333
193212;0.0000333333
193301;0.0000583333
193302;0.0000083333
193303;0.0011166667
193304;0.0003750000
193305;0.0002416667
193306;0.0000583333
193307;0.0001583333
193308;0.0000083333
193309;0.0000333333
193310;0.0000750000
193311;0.0001833333
193312;0.0002416667
193401;0.0006000000
193402;0.0005166667
193403;0.0002000000
193404;0.0001250000
193405;0.0001333333
193406;0.0001250000
193407;0.0001250000
193408;0.0001583333
193409;0.0001750000
193410;0.0002250000
193411;0.0002083333
193412;0.0001916667
193501;0.0001666667
193502;0.0001583333
193503;0.0001250000
193504;0.0001250000
193505;0.0001250000
193506;0.0001250000
193507;0.0001250000
193508;0.0001333333
193509;0.0001666667
193510;0.0001666667
193511;0.0001333333
193512;0.0001250000
193601;0.0001666667
193602;0.0001666667
193603;0.0001666667
193604;0.0001666667
193605;0.0001666667
193606;0.0001666667
193607;0.0001250000
193608;0.0001666667
193609;0.0001333333
193610;0.0001083333
193611;0.0000916667
193612;0.0001000000
193701;0.0001416667
193702;0.0001250000
193703;0.0003166667
193704;0.0004666667
193705;0.0003416667
193706;0.0003000000
193707;0.0002333333
193708;0.0002416667
193709;0.0002583333
193710;0.0001666667
193711;0.0000750000
193712;0.0000916667
193801;0.0000833333
193802;0.0000666667
193803;0.0000666667
193804;0.0000750000
193805;0.0000416667
193806;0.0000416667
193807;0.0000583333
193808;0.0000500000
193809;0.0000666667
193810;0.0000416667
193811;0.0000333333
193812;0.0000250000
193901;0.0000250000
193902;0.0000250000
193903;0.0000250000
193904;0.0000250000
193905;0.0000250000
193906;0.0000250000
193907;0.0000333333
193908;0.0000416667
193909;0.0001166667
193910;0.0000416667
193911;0.0000416667
193912;0.0000333333
194001;0.0000083333
194002;0.0000166667
194003;0.0000166667
194004;0.0000166667
194005;0.0000500000
194006;0.0000833333
194007;0.0000416667
194008;0.0000333333
194009;0.0000416667
194010;0.0000166667
194011;0.0000166667
194012;0.0000166667
194101;0.0000166667
194102;0.0000333333
194103;0.0000916667
194104;0.0000833333
194105;0.0000916667
194106;0.0001000000
194107;0.0001000000
194108;0.0001083333
194109;0.0000833333
194110;0.0000750000
194111;0.0002333333
194112;0.0002750000
194201;0.0002250000
194202;0.0002083333
194203;0.0002083333
194204;0.0002666667
194205;0.0003083333
194206;0.0003083333
194207;0.0003166667
194208;0.0003166667
194209;0.0003166667
194210;0.0003166667
194211;0.0003166667
194212;0.0003166667
194301;0.0003166667
194302;0.0003166667
194303;0.0003166667
194304;0.0003166667
194305;0.0003166667
194306;0.0003166667
194307;0.0003166667
194308;0.0003166667
194309;0.0003166667
194310;0.0003166667
194311;0.0003166667
194312;0.0003166667
194401;0.0003166667
194402;0.0003166667
194403;0.0003166667
194404;0.0003166667
194405;0.0003166667
194406;0.0003166667
194407;0.0003166667
194408;0.0003166667
194409;0.0003166667
194410;0.0003166667
194411;0.0003166667
194412;0.0003166667
194501;0.0003166667
194502;0.0003166667
194503;0.0003166667
194504;0.0003166667
194505;0.0003166667
194506;0.0003166667
194507;0.0003166667
194508;0.0003166667
194509;0.0003166667
194510;0.0003166667
194511;0.0003166667
194512;0.0003166667
194601;0.0003166667
194602;0.0003166667
194603;0.0003166667
194604;0.0003166667
194605;0.0003166667
194606;0.0003166667
194607;0.0003166667
194608;0.0003166667
194609;0.0003166667
194610;0.0003166667
194611;0.0003166667
194612;0.0003166667
194701;0.0003166667
194702;0.0003166667
194703;0.0003166667
194704;0.0003166667
194705;0.0003166667
194706;0.0003166667
194707;0.0005500000
194708;0.0006250000
194709;0.0006666667
194710;0.0007083333
194711;0.0007666667
194712;0.0007916667
194801;0.0008083333
194802;0.0008333333
194803;0.0008333333
194804;0.0008333333
194805;0.0008333333
194806;0.0008333333
194807;0.0008333333
194808;0.0008833333
194809;0.0009083333
194810;0.0009333333
194811;0.0009500000
194812;0.0009666667
194901;0.0009750000
194902;0.0009750000
194903;0.0009750000
194904;0.0009750000
194905;0.0009750000
194906;0.0009750000
194907;0.0008500000
194908;0.0008666667
194909;0.0008916667
194910;0.0008750000
194911;0.0009000000
194912;0.0009166667
195001;0.0008916667
195002;0.0009333333
195003;0.0009333333
195004;0.0009583333
195005;0.0009666667
195006;0.0009583333
195007;0.0009666667
195008;0.0010000000
195009;0.0010833333
195010;0.0010916667
195011;0.0011333333
195012;0.0011166667
195101;0.0011166667
195102;0.0011333333
195103;0.0011666667
195104;0.0012250000
195105;0.0012916667
195106;0.0012083333
195107;0.0013000000
195108;0.0013500000
195109;0.0013583333
195110;0.0012833333
195111;0.0013000000
195112;0.0014416667
195201;0.0013083333
195202;0.0012833333
195203;0.0013250000
195204;0.0013083333
195205;0.0013916667
195206;0.0014166667
195207;0.0015083333
195208;0.0015250000
195209;0.0014250000
195210;0.0014500000
195211;0.0015416667
195212;0.0017416667
195301;0.0016333333
195302;0.0016416667
195303;0.0016750000
195304;0.0018250000
195305;0.0018000000
195306;0.0017583333
195307;0.0017000000
195308;0.0017000000
195309;0.0014916667
195310;0.0011500000
195311;0.0012000000
195312;0.0013333333
195401;0.0009833333
195402;0.0008083333
195403;0.0008583333
195404;0.0008083333
195405;0.0006333333
195406;0.0005333333
195407;0.0006000000
195408;0.0007666667
