,1,2,3,4,5
232,1.0,1.0,5.0,1.0,1.0
233,1.0,2.0,2.0,8.0,4.0
234,5.0,1.0,1.0,10.0,1.0
235,1.0,1.0,1.0,4.0,19.0
236,9.0,1.0,1.0,4.0,1.0
237,3.0,12.0,1.0,1.0,2.0
238,1.0,12.0,32.0,1.0,2.0
239,2.0,4.0,1.0,15.0,5.0
240,1.0,1.0,1.0,1.0,2.0
241,1.0,1.0,1.0,1.0,1.0
242,4.0,9.0,3.0,1.0,1.0
243,1.0,1.0,1.0,2.0,1.0
244,1.0,1.0,1.0,1.0,3.0
245,2.0,1.0,1.0,1.0,2.0
246,2.0,1.0,5.0,1.0,1.0
247,1.0,1.0,1.0,1.0,1.0
248,1.0,2.0,1.0,3.0,1.0
249,1.0,1.0,15.0,7.0,1.0
250,32.0,1.0,1.0,1.0,43.0
251,3.0,10.0,4.0,1.0,4.0
252,1.0,2.0,1.0,3.0,14.0
253,1.0,1.0,1.0,6.0,1.0
254,1.0,1.0,1.0,3.0,1.0
255,1.0,20.0,7.0,6.0,1.0
256,3.0,4.0,7.0,3.0,1.0
257,1.0,5.0,4.0,2.0,1.0
258,1.0,1.0,4.0,3.0,1.0
259,2.0,3.0,1.0,3.0,1.0
260,3.0,1.0,1.0,5.0,7.0
261,1.0,1.0,4.0,2.0,1.0
262,1.0,2.0,2.0,1.0,13.0
263,1.0,1.0,1.0,1.0,7.0
264,1.0,1.0,1.0,1.0,7.0
265,3.0,1.0,3.0,1.0,1.0
266,46.0,1.0,1.0,3.0,2.0
267,1.0,1.0,1.0,1.0,1.0
268,5.0,1.0,4.0,1.0,1.0
269,18.0,1.0,2.0,4.0,1.0
270,1.0,1.0,1.0,2.0,1.0
271,1.0,1.0,1.0,14.0,1.0
272,2.0,9.0,1.0,5.0,1.0
273,1.0,1.0,8.0,7.0,3.0
274,1.0,5.0,10.0,4.0,1.0
275,1.0,5.0,1.0,1.0,2.0
276,28.0,42.0,1.0,11.0,1.0
277,1.0,4.0,22.0,1.0,1.0
278,1.0,1.0,8.0,1.0,9.0
279,1.0,1.0,3.0,1.0,2.0
280,1.0,2.0,1.0,4.0,5.0
281,1.0,23.0,7.0,1.0,3.0
282,1.0,2.0,13.0,3.0,1.0
283,1.0,2.0,2.0,6.0,1.0
284,2.0,2.0,2.0,5.0,15.0
285,1.0,4.0,1.0,1.0,3.0
286,1.0,3.0,4.0,8.0,1.0
287,1.0,1.0,1.0,1.0,5.0
288,20.0,1.0,4.0,1.0,5.0
289,1.0,1.0,1.0,1.0,1.0
290,1.0,31.0,4.0,1.0,1.0
291,3.0,1.0,1.0,3.0,1.0
292,4.0,1.0,1.0,7.0,15.0
293,1.0,1.0,2.0,1.0,5.0
294,1.0,2.0,6.0,1.0,13.0
295,1.0,1.0,1.0,26.0,3.0
296,16.0,44.0,2.0,1.0,1.0
297,1.0,2.0,2.0,1.0,2.0
298,1.0,6.0,5.0,2.0,1.0
299,1.0,45.0,57.0,1.0,1.0
300,3.0,1.0,1.0,1.0,2.0
301,2.0,2.0,1.0,1.0,2.0
302,13.0,1.0,17.0,1.0,2.0
303,1.0,1.0,6.0,8.0,2.0
